"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000100167",552.867513279583,-4.7622305184808,0.172397187861621,-27.62359744698,5.79479259074784e-168,3.48267034703945e-165
"ENSG00000225783",498.243473716026,-4.58709376519327,0.20935878479569,-21.9102043875052,2.07648284814963e-106,6.23983095868964e-104
"ENSG00000008735",323.176550092337,-5.31391369122054,0.244955546903026,-21.693379710745,2.36925553873902e-104,4.74640859594051e-102
"ENSG00000128245",806.221865253741,-2.55196148827614,0.132270920368544,-19.2934431934521,6.09739893578885e-83,9.16134190102274e-81
"ENSG00000251322",243.750095301367,-4.05290301886227,0.21370886356419,-18.9645995550621,3.34565509579955e-80,4.02147742515106e-78
"ENSG00000100095",285.336289211326,-5.22344476932381,0.276160907767547,-18.9144973904871,8.66425306789422e-80,8.67869348967405e-78
"ENSG00000100427",205.519580835913,-5.45237885285423,0.297045135354313,-18.355388471017,2.98941622670859e-75,2.56662736035981e-73
"ENSG00000100321",396.20395948028,-3.68072656664029,0.205499029842757,-17.9111627410441,9.64985271789527e-72,7.24945185431882e-70
"ENSG00000221890",271.69604640845,-3.24443147085656,0.186685953518876,-17.3790872301944,1.18829780636033e-67,7.93518868469508e-66
"ENSG00000128268",206.082212079595,-4.52266908279984,0.261971928941322,-17.2639454199417,8.78948725096327e-67,5.28248183782892e-65
"ENSG00000184702",423.270369277086,-2.46740677083044,0.153167164699619,-16.1092410091245,2.1970399952253e-58,1.20038276102764e-56
"ENSG00000100219",392.730756674832,2.86781763868335,0.182313696560307,15.7301272081591,9.40219963632413e-56,4.70893498452567e-54
"ENSG00000183741",608.132994235814,-1.96755157580695,0.127808801517077,-15.3944920259976,1.78218556034214e-53,8.23918093665867e-52
"ENSG00000100285",152.424756424597,-3.86459337799246,0.255190658436068,-15.1439453218098,8.30766771004783e-52,3.56636306695625e-50
"ENSG00000130540",166.827238985672,-6.29263252444017,0.430761285228954,-14.6081663794265,2.49133201921426e-48,9.98193695698512e-47
"ENSG00000100307",189.767147611745,-3.90636751354597,0.279001607564558,-14.001236579406,1.53181995936891e-44,5.75389872237948e-43
"ENSG00000237517",133.967000267005,-3.65527864377028,0.269366540663077,-13.5699060275726,6.0399422481417e-42,2.13529723007833e-40
"ENSG00000100316",1717.79169616174,1.62743740033179,0.120485567824173,13.5073223268263,1.41577832756454e-41,4.72712652703495e-40
"ENSG00000099901",246.272899635246,2.41886619122771,0.186298643755812,12.9838099862831,1.51169521270717e-38,4.78173064651058e-37
"ENSG00000100097",292.114387362993,2.35560153215218,0.184531196222518,12.7653295506287,2.56064621555682e-37,7.69474187774823e-36
"ENSG00000128266",145.956750347151,-3.50561587490083,0.276016875358403,-12.7007302374134,5.85805290335171e-37,1.67651894995923e-35
"ENSG00000100345",1166.55853482038,1.65100719299487,0.140398875137249,11.7594047059202,6.31781592647176e-32,1.7259124417316e-30
"ENSG00000211679",1481.55555236262,13.7136723363882,1.18446107141921,11.577984846692,5.32838868523888e-31,1.39233113036025e-29
"ENSG00000243156",437.66197868306,-1.99365502748078,0.178523682187911,-11.1674541049534,5.88433264633441e-29,1.47353496685291e-27
