UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
4	3
0	4
0	4
0	1
0	0
0	0
1	2
0	1
3	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	1
3	1
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	3
0	6
0	5
5	8
0	1
2	5
1	0
2	1
0	2
4	1
0	0
0	4
0	2
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	5
1	4
4	2
11	3
5	1
2	0
0	0
60	0
1	0
1	0
0	31
1	31
0	0
1	0
0	18
2	18
8	16
0	13
0	16
0	5
0	6
0	0
2	0
0	32
0	32
0	31
0	10
0	6
1	6
0	2
0	0
0	0
0	0
0	2
0	1
1	0
0	0
0	0
0	16
0	77
1	0
0	0
1	5
24	97
0	81
0	0
0	19
0	15
3	74
2	68
1	3
1	19
1	19
0	0
7	1
4	390
0	291
0	218
1	5
2	144
1	115
1	65
1	83
1	67
0	3
0	29
0	172
0	149
0	80
0	9
1	81
3	34
47	169
1	0
0	63
1	157
0	2
3	69
10	68
0	63
1	69
1	57
5	24
0	14
0	18
0	14
0	11
0	2
0	0
0	0
82	392
9	169
8	18
16	17
1	9
2	10
7	1
0	19
3	17
0	188
0	196
8	186
0	186
1	12
0	185
0	185
1	247
0	130
0	179
0	6
0	0
0	1
0	23
3	0
2	0
5	5
1	0
1	2
2	0
2	6
114	59
0	44
0	98
0	11
1	0
0	0
0	0
7	11
0	90
6	90
3	88
4	28
3	2
0	0
0	0
0	2
0	2
0	0
1	0
0	0
0	0
0	0
3	2
0	0
0	0
0	1
0	39
1	46
13	59
0	41
10	22
0	58
2	8
0	34
0	73
0	84
0	78
0	75
11	56
0	114
0	91
23	52
0	4
0	3
0	4
0	10
0	3
7	6
121	29
19	10
0	6
9	2
0	20
7	0
11	4
13	3
26	19
0	19
9	0
4	0
1	282
0	301
0	293
0	293
2	118
0	0
13	1
1	22
0	0
0	12
4	0
3	0
0	0
8	32
0	7
2	24
0	22
0	1
0	0
2	0
1	38
0	36
0	33
1	13
0	0
0	32
0	32
0	31
2	4
0	11
0	10
0	29
0	29
0	0
0	4
0	0
1	0
0	0
1	1
0	0
0	58
0	43
0	53
0	44
0	0
1	4
0	6
7	24
0	24
0	24
1	22
0	23
30	38
0	31
1	1
0	27
