UniqueCount	AmbigCount
0	0
0	0
0	0
5	0
11	0
60	96
2	162
12	133
0	35
92	0
1	4
3	60
1	5
8	4
11	0
16	0
10	7
0	0
2	0
0	0
1	1
0	1
3	4
5	4
0	0
0	0
0	0
1	0
0	0
0	0
4	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
2	0
0	0
1	0
0	0
4	0
1	0
2	16
0	18
2	12
52	56
1	7
3	18
3	0
0	6
2	6
22	0
2	0
0	31
1	13
1	0
2	3
0	2
1	2
0	1
0	0
1	0
1	0
3	0
0	0
0	0
0	0
0	0
1	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	8
2	5
2	4
19	6
6	6
0	0
1	9
88	11
1	0
1	0
0	9
0	9
0	0
0	0
0	113
4	113
10	73
0	56
1	70
0	2
1	18
1	1
0	1
0	41
0	41
1	40
0	17
1	10
0	7
0	0
1	0
0	0
0	0
2	6
1	0
0	0
0	0
0	0
5	20
0	70
1	0
0	0
0	4
21	98
0	74
0	0
0	15
0	22
1	5
0	5
0	0
0	10
0	0
0	0
5	4
2	241
1	191
2	148
2	13
0	72
0	63
0	29
0	43
0	32
1	11
0	32
1	174
1	155
1	78
1	7
2	83
9	40
26	174
1	0
0	49
1	154
0	3
3	58
0	101
0	92
2	102
1	73
8	55
0	48
0	55
0	46
0	32
0	6
0	0
2	0
25	201
1	66
0	7
9	4
0	7
0	4
0	0
1	9
0	9
1	114
0	118
10	101
0	115
1	5
0	113
0	115
0	157
0	77
0	112
0	2
0	0
0	0
0	10
0	0
2	0
7	9
0	0
0	3
0	0
3	5
198	89
0	52
0	12
1	20
3	0
0	1
0	1
0	0
0	3
2	3
2	3
1	0
30	6
0	1
0	1
0	1
0	0
0	0
0	0
0	0
3	0
0	0
4	9
0	0
0	0
0	0
0	20
0	22
2	27
1	21
5	4
1	23
1	2
2	19
0	26
0	29
0	28
0	27
2	19
0	34
0	24
5	14
0	2
0	1
0	1
0	3
0	1
4	2
12	6
0	1
0	0
1	6
0	0
1	0
2	0
3	0
5	3
0	3
0	0
0	0
0	284
0	298
0	282
0	282
3	125
1	0
20	1
1	27
0	0
0	16
3	0
2	1
0	0
6	73
0	7
0	61
1	55
0	1
0	0
11	0
25	199
2	191
1	184
0	45
0	4
0	88
0	84
0	88
6	6
0	15
0	16
0	81
1	79
0	2
1	6
0	4
0	0
0	0
0	4
1	0
0	220
1	170
0	196
1	158
4	0
5	22
0	25
18	86
3	86
10	79
2	25
0	26
53	47
0	41
8	0
0	144
